model,aligned_accuracy,conflict_accuracy,pair_both_accuracy,hint_flip_rate,hint_follow_rate,causal_hint_effect,aligned_correct_margin,conflict_correct_margin,fresh_result_response_rate,fresh_flip_rate,nuisance_invariance_rate,nuisance_pair_both_accuracy,greedy_exact_format_rate,greedy_accuracy
Base,0.75,0.75,0.75,0.0,0.5,-0.7051460401713848,0.22485037346680958,0.9299964136381944,0.5,0.5,1.0,0.75,1.0,0.75
Shortcut SFT,1.0,0.0,0.0,1.0,1.0,30.12950032477993,15.094793982135313,-15.03470634264461,0.0,0.0,1.0,0.0,1.0,0.3333333333333333
Aligned-only DPO,1.0,0.0,0.0,1.0,1.0,138.91983005132775,69.47227940940063,-69.44755064192712,0.0,0.0,1.0,0.0,1.0,0.3333333333333333
Counterfactual DPO,0.898888888888889,0.69,0.69,0.2088888888888889,0.6044444444444445,14.580076459420491,18.66229730142379,4.0822208420032995,0.5855555555555556,0.5855555555555556,0.89,0.64,1.0,0.7607407407407406
Counterfactual SFT,0.7533333333333333,0.7522222222222222,0.7522222222222222,0.0011111111111111111,0.5005555555555555,-0.0013547689540104732,1.3109538312421904,1.312308600196201,0.5111111111111111,0.5111111111111111,0.9944444444444445,0.7488888888888888,1.0,0.7533333333333333
